"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
10.8824686731098,16.685522133781,14.4846659888816,12.8995290221451,12.9821276143966,12.7297397321513,13.8817389488074,13.4060122841129,14.6279713502231,13.972204689955,14.6437597692208,13.7113328998922,14.6439985707163,15.7473735962226,13.0491803290395,15.6377267618734,17.0238070663077,14.4278853692258,15.1331488667069,17.1524652636529,15.600770151926,15.9040084870322,17.0810129549908,15.2834222031025
17.0156806091568,22.5594173141069,20.6962451360513,20.1470649354512,19.9744115444165,18.2205317033419,19.9631437739054,21.5041344292278,20.8934076554055,21.1861984411711,21.3694165500738,21.9994227167603,19.5301752123403,21.1279611888996,18.2484235761991,18.6297854042024,21.4073574787867,21.5011411628527,18.0658681997855,20.5565554351668,19.3892111290456,18.0362967350741,19.2050671632101,17.0494240825021
27.4834286469737,30.6355049831893,38.7930303469172,27.8021724781577,29.1476522722811,21.1252706816488,25.912276437977,26.5125995489121,24.213341119444,23.0983740012912,24.979444965528,25.3576402308605,21.423138043529,23.1009420541452,16.4021515355976,21.9399904482344,24.6661420763808,21.2729966556022,20.4311264504671,19.3167721954944,17.1280091860137,18.2387192508393,22.2763688487016,20.0687953620243
16.1669504673307,26.9467430864155,21.4966932106673,21.1533971753555,27.1854763678678,22.4025704785236,22.4043166530196,21.2348903795788,18.9408773497776,18.4388235121173,21.0006213811261,18.2852429141775,18.2434577397092,13.4747261914715,17.2533654764239,20.0474390656158,22.0214633469469,18.649649111828,14.2781033664587,20.5406533821777,16.4458756661654,16.4711869289994,19.8544458246168,15.6150209873462
12.1241827950004,12.6251007124889,13.3743224480949,17.5970367988127,15.2460644196514,14.6409652015803,15.6062173767767,16.813844901847,15.8181117880881,16.5414641564483,15.2003212026082,15.6904021440806,15.079439270201,15.1884915716641,14.0622090446208,16.3398432263999,15.324290644821,15.7885049877084,14.2603805831908,16.4086584606806,14.692101306612,13.0096266611743,16.1556363595379,12.9436325751598
21.1008225646359,22.8479194777989,24.7715829206268,18.1049924445638,15.0933187040269,23.4405541300639,25.5360484414511,20.8982235730638,20.4293545913373,23.0238081487865,23.6883403057426,23.0043607199084,21.4994865480592,25.6574555913922,16.068695395713,21.0532422273492,26.225427352777,25.7747079410434,17.7113092452018,23.2792055352646,16.6807095411137,16.9472862184554,24.7159663333613,23.4530649926193
26.8119517272388,34.540398282296,45.7082607691352,36.8284385299362,42.7173167637877,41.9245942515296,41.0354747240608,41.4899690740011,28.8031747813051,31.0253184007481,35.1790339585218,24.5325626890677,19.7546235935411,15.6020299324715,15.3379487085056,14.6100321267354,16.6295722607422,17.0560525096474,14.5561518149501,17.6477190097844,14.6992271787009,12.9889498113178,18.4696609993239,16.6031288760876
34.0998722159344,34.3060148534463,47.5255816518044,31.9844737425249,38.9951872529451,40.6976149714722,40.4084850559217,43.3633446822466,34.4123652082898,32.9968837141039,38.9630789526184,36.8781209631946,30.9297580105495,23.3725138164349,27.8753731707582,27.471130113424,30.3772125101343,34.4463681210007,27.287011513693,28.9745320372064,21.6404803315412,22.2563353355944,24.6257161674186,19.3028423064244
12.1241827950004,12.6251007124889,13.3743224480949,17.5970367988127,15.2460644196514,14.6409652015803,15.6062173767767,16.813844901847,15.8181117880881,16.5414641564483,15.2003212026082,15.6904021440806,15.079439270201,15.1884915716641,14.0622090446208,16.3398432263999,15.324290644821,15.7885049877084,14.2603805831908,16.4086584606806,14.692101306612,13.0096266611743,16.1556363595379,12.9436325751598
33.3126644803251,40.8349916024479,46.1688814539979,36.2672930481443,34.3051657272097,22.3911245313624,34.11383282088,32.0624845313285,33.8995437626749,32.8164401633081,35.054767968787,30.9844605629962,29.4326251746337,33.1731063045707,26.4544718381614,29.6929653800614,29.2448513942216,28.0488016877522,28.2926077262806,32.7232298562729,25.583535893068,27.4598141059381,30.2709247995546,25.3069726137197
